Referência (na ocasião do registro ou da renovação de adequação a RDC 134/2003);Princípio ativo;Nome comercial do medicamento similar;Detentor do registro do medicamento similar;Forma Farmacêutica;Concentração;Data da inclusão
Abilify;aripiprazol;Aipri;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;10 MG;28/02/2018
Abilify;aripiprazol;Aipri;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;COMPRIMIDO SIMPLES;15 MG;28/02/2018
Abilify;aripiprazol;Aristab;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO SIMPLES;30 MG;15/12/2014
Abilify;aripiprazol;Aristab;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO SIMPLES;20 MG;31/03/2016
Abilify;aripiprazol;Aristab;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO SIMPLES;15 MG;15/12/2014
Abilify;aripiprazol;Aristab;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A.;COMPRIMIDO SIMPLES;10 MG;15/12/2014
Abilify;aripiprazol;Confilify;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;10 MG;30/06/2016
Abilify;aripiprazol;Confilify;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;15 MG;30/06/2016
Abilify;aripiprazol;Confilify;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;20 MG;30/06/2016
Abilify;aripiprazol;Confilify;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;30 MG;30/06/2016
Abilify;aripiprazol;Harip;PRATI DONADUZZI & CIA LTDA;COMPRIMIDO;10 MG;06/02/2020
Abilify;aripiprazol;Harip;PRATI DONADUZZI & CIA LTDA;COMPRIMIDO;15 MG;06/02/2020
Abilify;aripiprazol;Harip;PRATI DONADUZZI & CIA LTDA;COMPRIMIDO;20 MG;06/02/2020
Abilify;aripiprazol;Harip;PRATI DONADUZZI & CIA LTDA;COMPRIMIDO;30 MG;06/02/2020
Abilify;aripiprazol;Kavium;ZYDUS NIKKHO FARMACÊUTICA LTDA;COMPRIMIDO SIMPLES;10 MG;30/06/2016
